item_name,measure,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-10,2022-02-11,2022-02-12,2022-03-04,2022-03-05,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-22,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-29,2022-07-30,2022-07-31,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-30,2022-08-31,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-24,2022-09-25,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-15,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-29,2023-03-30,2023-04-01,2023-04-02,2023-04-03,2023-05-01,2023-05-02,2023-05-03,2023-06-01,2023-06-02,2023-06-03,2023-07-01,2023-07-02,2023-07-03,2023-08-02,2023-08-03,2023-09-02,2023-09-03,2023-10-01,2023-10-02,2023-10-03,2023-11-01,2023-11-02,2023-11-03,2023-12-01,2023-12-02,2023-12-03
Aalopuri,quantity,0,13,0,0,0,0,9,12,0,0,0,0,0,0,0,1,0,10,0,13,0,2,0,0,1,0,11,0,0,0,0,0,13,2,0,0,0,0,12,0,5,1,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,15,7,21,2,0,0,7,3,25,0,3,0,0,0,10,0,11,0,0,25,11,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,15,8,3,0,0,0,11,0,0,0,0,0,0,2,0,0,0,5,12,0,0,0,0,1,0,12,4,13,4,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,11,13,0,3,0,12,6,0,20,5,0,23,0,0,0,10,8,0,1,0,0,0,0,8,15,9,0,6,15,0,0,9,0,1,14,0,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,14,0,11,0,0,13,0,1,0,3,0,6,0,0,16,0,0,4,0,0,2,29,0,0,0,0,0,0,0,0,0,2,5,0,15,0,0,0,0,14,0,0,0,15,0,0,0,0,0,0,21,0,14,0,5,0,0,0,5,10,0,14,0,0,0,0,2,4,0,0,15,0,0,0,8,1,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,4,12,10,25,8,0,0,0,2,0,0,0,0,8,0,3,0,6,0,1,0,3,0,0,0,0,3,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,1,13,0,0,3,0,0,14,0,0,0,0,15,0,0,12,0,0,1,13,0,4
Aalopuri,transaction_amount,0,260,0,0,0,0,180,240,0,0,0,0,0,0,0,20,0,200,0,260,0,40,0,0,20,0,220,0,0,0,0,0,260,40,0,0,0,0,240,0,100,20,0,0,0,0,0,0,140,160,0,0,0,0,0,0,0,0,0,0,300,140,420,40,0,0,140,60,500,0,60,0,0,0,200,0,220,0,0,500,220,40,60,0,0,0,0,0,80,0,0,0,0,0,0,0,40,300,160,60,0,0,0,220,0,0,0,0,0,0,40,0,0,0,100,240,0,0,0,0,20,0,240,80,260,80,0,180,0,0,0,0,0,0,0,0,0,0,0,200,0,220,260,0,60,0,240,120,0,400,100,0,460,0,0,0,200,160,0,20,0,0,0,0,160,300,180,0,120,300,0,0,180,0,20,280,0,0,0,0,0,300,0,0,0,0,0,240,0,0,0,0,280,0,220,0,0,260,0,20,0,60,0,120,0,0,320,0,0,80,0,0,40,580,0,0,0,0,0,0,0,0,0,40,100,0,300,0,0,0,0,280,0,0,0,300,0,0,0,0,0,0,420,0,280,0,100,0,0,0,100,200,0,280,0,0,0,0,40,80,0,0,300,0,0,0,160,20,0,0,0,0,0,0,0,0,140,0,0,0,300,0,0,80,240,200,500,160,0,0,0,40,0,0,0,0,160,0,60,0,120,0,20,0,60,0,0,0,0,60,0,0,0,0,280,0,0,0,40,0,0,0,0,0,0,0,20,260,0,0,60,0,0,280,0,0,0,0,300,0,0,240,0,0,20,260,0,80
Cold coffee,quantity,0,0,0,19,0,0,0,0,0,15,10,4,11,15,2,0,6,0,0,2,0,0,0,10,0,19,0,0,0,0,0,10,0,15,0,0,0,0,0,1,16,0,0,0,0,0,14,0,0,0,0,0,23,0,0,0,0,0,0,6,14,10,2,0,0,0,3,0,13,0,0,3,0,0,0,0,0,3,0,0,0,0,0,7,2,34,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14,0,0,8,0,10,0,0,7,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,13,0,7,10,9,0,0,0,20,0,0,0,8,5,21,0,12,0,17,6,28,13,0,15,1,12,0,9,13,10,0,0,0,13,0,18,0,0,0,3,2,0,0,0,0,0,8,0,0,0,0,0,0,4,14,0,18,0,0,4,0,0,0,0,27,0,13,0,0,0,5,0,0,2,0,0,27,0,0,11,0,15,0,20,0,0,0,0,9,0,3,15,11,0,9,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,2,0,0,0,28,0,17,0,10,20,11,1,0,0,13,0,15,11,0,13,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,14,12,15,6,0,0,0,14,10,3,15,0,21,12,6,6,6,0,0,0,0,8,0,8,14,8,4,0,10,0,0,9,5,6,10,2,13,0,0,27,0,0,0,15,0,27,0,10,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0
Cold coffee,transaction_amount,0,0,0,760,0,0,0,0,0,600,400,160,440,600,80,0,240,0,0,80,0,0,0,400,0,760,0,0,0,0,0,400,0,600,0,0,0,0,0,40,640,0,0,0,0,0,560,0,0,0,0,0,920,0,0,0,0,0,0,240,560,400,80,0,0,0,120,0,520,0,0,120,0,0,0,0,0,120,0,0,0,0,0,280,80,1360,0,0,0,0,0,0,0,200,0,0,0,0,0,0,560,0,0,320,0,400,0,0,280,400,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,480,0,0,0,520,0,280,400,360,0,0,0,800,0,0,0,320,200,840,0,480,0,680,240,1120,520,0,600,40,480,0,360,520,400,0,0,0,520,0,720,0,0,0,120,80,0,0,0,0,0,320,0,0,0,0,0,0,160,560,0,720,0,0,160,0,0,0,0,1080,0,520,0,0,0,200,0,0,80,0,0,1080,0,0,440,0,600,0,800,0,0,0,0,360,0,120,600,440,0,360,0,0,0,0,0,0,0,0,440,280,0,0,0,0,0,80,0,0,0,1120,0,680,0,400,800,440,40,0,0,520,0,600,440,0,520,0,0,0,0,0,80,520,0,0,0,0,0,0,0,0,560,480,600,240,0,0,0,560,400,120,600,0,840,480,240,240,240,0,0,0,0,320,0,320,560,320,160,0,400,0,0,360,200,240,400,80,520,0,0,1080,0,0,0,600,0,1080,0,400,0,0,0,0,0,0,0,0,0,280,400,0,0,0,0,0,0,0
Frankie,quantity,0,0,0,0,5,0,0,0,8,0,0,0,0,0,12,4,0,0,0,0,0,0,13,6,0,0,7,0,0,0,0,0,0,19,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,9,0,0,5,0,15,0,13,0,0,0,12,0,13,11,0,7,0,0,10,8,0,9,0,0,0,0,4,6,1,0,12,0,0,6,0,0,7,10,0,10,13,0,20,0,0,8,0,0,2,7,0,0,0,0,0,0,6,0,3,6,0,0,0,10,0,0,0,5,0,7,1,13,0,5,0,19,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,4,0,0,9,0,0,0,0,8,0,13,0,0,0,0,6,0,4,0,13,4,14,0,15,0,0,0,9,0,7,0,0,0,12,0,0,0,7,0,0,0,0,0,4,0,0,25,0,0,13,0,0,7,0,0,11,0,6,0,0,0,24,0,0,0,9,0,4,7,0,0,15,0,0,0,13,13,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,14,0,0,2,6,0,0,20,0,0,0,0,0,15,8,2,7,13,0,0,0,8,0,0,15,0,0,0,0,0,0,9,0,7,9,19,23,6,13,23,0,0,13,2,11,0,0,26,0,0,0,0,0,0,0,0,0,0,0,12,0,35,10,0,6,0,0,3,10,0,12,0,0,30,0,0,7,9,0,0,0,4,0
Frankie,transaction_amount,0,0,0,0,250,0,0,0,400,0,0,0,0,0,600,200,0,0,0,0,0,0,650,300,0,0,350,0,0,0,0,0,0,950,0,0,300,250,0,0,0,0,0,0,0,0,0,0,0,0,650,100,0,0,0,0,0,0,450,0,0,250,0,750,0,650,0,0,0,600,0,650,550,0,350,0,0,500,400,0,450,0,0,0,0,200,300,50,0,600,0,0,300,0,0,350,500,0,500,650,0,1000,0,0,400,0,0,100,350,0,0,0,0,0,0,300,0,150,300,0,0,0,500,0,0,0,250,0,350,50,650,0,250,0,950,350,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,200,200,0,0,450,0,0,0,0,400,0,650,0,0,0,0,300,0,200,0,650,200,700,0,750,0,0,0,450,0,350,0,0,0,600,0,0,0,350,0,0,0,0,0,200,0,0,1250,0,0,650,0,0,350,0,0,550,0,300,0,0,0,1200,0,0,0,450,0,200,350,0,0,750,0,0,0,650,650,750,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,350,0,700,0,0,100,300,0,0,1000,0,0,0,0,0,750,400,100,350,650,0,0,0,400,0,0,750,0,0,0,0,0,0,450,0,350,450,950,1150,300,650,1150,0,0,650,100,550,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,600,0,1750,500,0,300,0,0,150,500,0,600,0,0,1500,0,0,350,450,0,0,0,200,0
Panipuri,quantity,0,0,6,10,0,2,5,12,0,0,0,0,15,4,0,0,0,11,7,0,0,0,0,0,9,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,8,14,9,3,0,0,11,0,0,0,0,0,7,15,0,0,0,24,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,14,5,0,0,0,0,0,0,5,0,0,0,8,0,0,0,12,0,2,0,4,9,0,9,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,13,16,5,12,5,11,11,0,10,5,2,0,23,0,12,11,20,0,19,6,0,0,4,11,0,10,0,0,5,0,0,0,0,14,0,0,0,0,15,1,0,12,0,5,0,0,0,0,14,8,0,0,13,15,0,0,0,0,0,1,0,19,0,0,0,0,10,0,0,11,0,0,13,0,0,0,13,0,0,0,9,0,14,0,0,0,0,0,1,0,25,0,0,0,0,2,23,14,0,12,0,0,11,0,0,10,0,0,0,10,0,10,0,0,0,0,0,11,10,0,13,7,2,14,0,0,0,0,25,0,6,0,0,0,28,25,0,0,0,0,0,6,0,0,17,0,0,0,0,2,15,0,0,20,0,14,7,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,6,0,0,11,0,0,0,12,0,14,0,34,0,0,13,0,0,0,0,4,0,7,0,1,0,9,3,12,0,4,7,0,0,20,0,0,0,0,0
Panipuri,transaction_amount,0,0,120,200,0,40,100,240,0,0,0,0,300,80,0,0,0,220,140,0,0,0,0,0,180,0,0,40,0,300,0,0,0,0,0,0,0,0,0,0,0,160,280,180,60,0,0,220,0,0,0,0,0,140,300,0,0,0,480,0,0,0,0,0,140,0,0,0,0,0,0,0,40,0,280,100,0,0,0,0,0,0,100,0,0,0,160,0,0,0,240,0,40,0,80,180,0,180,0,0,0,160,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,60,240,0,0,0,0,260,320,100,240,100,220,220,0,200,100,40,0,460,0,240,220,400,0,380,120,0,0,80,220,0,200,0,0,100,0,0,0,0,280,0,0,0,0,300,20,0,240,0,100,0,0,0,0,280,160,0,0,260,300,0,0,0,0,0,20,0,380,0,0,0,0,200,0,0,220,0,0,260,0,0,0,260,0,0,0,180,0,280,0,0,0,0,0,20,0,500,0,0,0,0,40,460,280,0,240,0,0,220,0,0,200,0,0,0,200,0,200,0,0,0,0,0,220,200,0,260,140,40,280,0,0,0,0,500,0,120,0,0,0,560,500,0,0,0,0,0,120,0,0,340,0,0,0,0,40,300,0,0,400,0,280,140,0,0,0,0,0,0,360,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,260,0,0,0,120,0,0,220,0,0,0,240,0,280,0,680,0,0,260,0,0,0,0,80,0,140,0,20,0,180,60,240,0,80,140,0,0,400,0,0,0,0,0
Sandwich,quantity,7,0,0,0,0,15,13,0,7,15,0,0,0,0,0,19,15,1,8,2,0,0,0,0,0,29,0,0,10,0,13,0,0,0,11,0,6,12,0,4,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,9,4,0,4,0,0,0,7,0,0,0,0,0,2,26,0,0,2,3,16,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,15,0,10,0,0,0,3,0,0,0,0,17,24,10,0,0,0,13,6,0,0,0,12,0,0,0,0,0,0,7,0,0,0,9,9,8,0,0,0,0,1,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,22,0,0,0,0,0,0,6,1,1,0,0,0,10,0,30,0,0,0,0,0,12,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,8,0,0,0,9,0,6,5,14,0,0,0,0,0,0,0,0,0,0,6,25,6,0,0,10,0,0,0,0,0,4,0,0,0,10,0,7,0,0,0,6,10,0,1,0,0,0,6,0,0,3,0,0,15,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,23,0,7,8,0,0,0,7,0,7,13,0,0,0,0,3,0,0,0,26,7,0,0,12,0,0,0,8,0,14,7,0,0,0,0,10,0,0,14,0,20,0,0,11,28,0,0,0,0,0,0,1,6,0,0,15,0,0,11,5,0,12,0,7,0,4,1,0,9,0,0,0,0,0,0,0,0,14,0,0
Sandwich,transaction_amount,420,0,0,0,0,900,780,0,420,900,0,0,0,0,0,1140,900,60,480,120,0,0,0,0,0,1740,0,0,600,0,780,0,0,0,660,0,360,720,0,240,0,0,0,240,0,0,0,0,0,0,600,0,0,0,0,540,240,0,240,0,0,0,420,0,0,0,0,0,120,1560,0,0,120,180,960,0,0,0,0,0,0,60,0,0,0,0,0,0,780,0,900,0,600,0,0,0,180,0,0,0,0,1020,1440,600,0,0,0,780,360,0,0,0,720,0,0,0,0,0,0,420,0,0,0,540,540,480,0,0,0,0,60,0,0,0,0,660,0,0,0,900,0,0,0,0,0,0,0,1320,0,0,0,0,0,0,360,60,60,0,0,0,600,0,1800,0,0,0,0,0,720,0,0,1260,540,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,120,60,0,480,0,0,0,540,0,360,300,840,0,0,0,0,0,0,0,0,0,0,360,1500,360,0,0,600,0,0,0,0,0,240,0,0,0,600,0,420,0,0,0,360,600,0,60,0,0,0,360,0,0,180,0,0,900,0,0,780,0,0,0,0,720,0,0,0,0,0,0,0,0,0,780,0,1080,0,0,0,1380,0,420,480,0,0,0,420,0,420,780,0,0,0,0,180,0,0,0,1560,420,0,0,720,0,0,0,480,0,840,420,0,0,0,0,600,0,0,840,0,1200,0,0,660,1680,0,0,0,0,0,0,60,360,0,0,900,0,0,660,300,0,720,0,420,0,240,60,0,540,0,0,0,0,0,0,0,0,840,0,0
